name,description,site_type,longitude,latitude,elevation,datum
W09,Communal 1 For consumption. Perforated Depth:  It cannot be accessed because it is sealed,Well,-86.49426204152405,13.52131999097764,750.096985,WGS 84
W10,Miguel Gomez For irrigation and to wash. The water level rise 2.5 m in winter. Hand built Depth: 5.78 m,Well,-86.4940970018506,13.5219890344888,725.2897339999998,WGS 84
W11,"Communal El Guasimo For irrigation, for consumption animal and to wash. The water level rise 1.5 m in winter. Hand built Depth: 7.40 m",Well,-86.4958690200001,13.52144395932555,766.615967,WGS 84
W12,Osman Abel Hernandez For irrigation and to wash. The water level maintained in winter. Hand built Depth: 2.85 m,Well,-86.49605300277472,13.52130398154259,778.5903319999999,WGS 84
W13,Maria de la Cruz Sanchez For irrigation and to wash. The water level maintained in winter. Hand built depth: 14.85 m,Well,-86.49796499870718,13.52197595871985,788.4094240000001,WGS 84
W14,Communal EL Aguacate For consumption. The water level maintained in winter. Hand built Depth: 3.82 m,Well,-86.49793398566544,13.5206610057503,777.241943,WGS 84
W15,Santos Gomez For consumption animal. The water level maintained in winter. Hand built Depth: 12.70 m,Well,-86.49750198237598,13.52284298278391,784.2899169999998,WGS 84
W16,Main Well (MABE) For consumption.  Perforated Depth: 96.00 m (Estimated deth),Well,-86.49858802556992,13.52302897721529,783.2600099999999,WGS 84
W17,Vicente Gonzalez Is without water Hand built Depth: 6.50 m,Well,-86.49821897037327,13.52332301437855,784.4769899999999,WGS 84
W18,"Lucas Lopez For irrigation, for consumption animal and to wash. The water level maintained in winter. Hand built Depth: 12.75 m",Well,-86.49912698194385,13.52386800572276,787.9970699999999,WGS 84
W19,Communal El Chaguite For consumption. Hand built Depth: 0.41 m,Well,-86.5046379994601,13.52227100171149,895.3627320000002,WGS 84
W20,Cathment Pile El Chaguite For consumption. Hand built,Well,-86.50459298864007,13.5222979914397,886.249146,WGS 84
W21,Santos Lopez For irrigation and to wash. The water level rise 5 m in winter. Hand built Depth: 9.20 m,Well,-86.49666898883879,13.52340800687671,769.0224,WGS 84
W22,"Cummunal Suiza For irrigation, for consumption animal and to wash. The water level rise 1.5 - 2 m in winter. Hand built Depth: 11.41 m",Well,-86.49598703719676,13.52401502430439,769.415161,WGS 84
W23,Communal Mandagual For consumption. Hand built Depth: 92.00 m (  Estimated deth ),Well,-86.49601503275335,13.52416598238051,769.705078,WGS 84
W24,Demetrio Bautista For irrigation and to wash Hand built Depth: 8.20 m,Well,-86.49275396950543,13.5247450042516,754.617004,WGS 84
W25,Communal El Bucaro For consumption. Perforated Depth: It cannot be accessed because it is sealed,Well,-86.49268699809909,13.52479403838515,754.555786,WGS 84
W26,Valetin Lopez  Is without water Hand built Depth: 11.34 m,Well,-86.49196397513151,13.52458499372005,750.895264,WGS 84
W27,Mariluz Lopez For consumption.  Perforated Depth: It cannot be accessed because it is sealed,Well,-86.49040502496064,13.52313098497689,744.459961,WGS 84
W28,Communal La Guayaba For consumption Perforated Deprh: . It cannot be accessed because it is sealed,Well,-86.49161201901734,13.5174229927361,747.684265,WGS 84
W29,Margarita Sanchez For irrigation and to wash. The water level rise  1 - 1.5 m in winter. Hand built Depth: 5.38 m,Well,-86.48912795819342,13.51576102897525,735.2819819999999,WGS 84
